Row Labels	2013 / 10	2014 / 01	2014 / 02	2014 / 03	2014 / 04	2014 / 05	2014 / 06	2014 / 07	2014 / 08	2014 / 09	2014 / 10	2014 / 11	2014 / 12	2015 / 01	2015 / 02	2015 / 03	2015 / 04	2015 / 05	2015 / 06	2015 / 07	2015 / 08	2015 / 09	2015 / 10	2015 / 11	2015 / 12	2016 / 01	2016 / 02	2016 / 03	2016 / 04	2016 / 05	2016 / 06	2016 / 07	2016 / 08	2016 / 09	2016 / 10	2016 / 11	2016 / 12
Bronx4	191.3	201.85	173.97	207.23	218.77	208.56	228.81	232.54	227.85	230.93	213.28	203.69	263.5	209.86	219.31	244.39	235.41	236.82	278.05	245.37	258.23	257.29	251.87	249.45	287	219.96	323	298.89	292.18	284.76	297.36	303.69	319.46	284.08	299.88	307.3	303.82
Bronx5	225.75	233.24	194.76	235.04	247.94	243.84	248.6	258.94	252.98	252.75	245.9	235.04	283.69	232.32	240.14	265.04	256.36	257.91	289.81	276.81	285.74	292.82	277.91	275.36	311.4	253.6	338.4	314.12	314.43	300.98	318.59	325.02	343.32	309.53	310.81	325.27	319.72
Bronx6	146.37	151.12	112.77	119.51	157.6	131.56	134.59	164.44	127.92	143.51	136.87	117.75	167.16	99.55	146.1	145.6	150.4	136.79	156.45	150.97	138	174.76	135.31	137.94	196.3	118.07	185.21	199.31	162.57	180.78	190.83	171.83	214.32	175.08	168.88	219.56	172.41
Bronx7	276.67	318.97	244.99	284.49	295.67	293.34	307.12	326.48	306.45	306.12	316.06	276.4	350.43	309.74	296.68	313.73	328.88	310.31	345.99	346.54	336.66	348.18	346.15	324.4	414.32	310.16	403.19	391.73	361.2	357.48	402.01	378.25	411.99	388.88	377.14	386.36	424.69
Bronx8	270.49	295.21	246.11	262.53	293.21	276.69	281.52	304.46	264.04	291.63	285.47	254.83	340.13	286.88	289.35	312.11	298.13	279.68	330.96	312.45	291.39	327.7	308.89	292.22	393.54	262.25	367.71	349.2	320.63	336.95	354.29	321.18	354.38	324.32	319.78	346.77	361
Bronx9	226.48	257.44	185.38	242.04	246.01	269.1	254.6	269.59	253.11	234.97	253.01	225.33	267.81	272.93	220.17	247.01	265.99	271.47	279.2	289.04	272.62	269.95	281.18	239.48	318.54	241.3	291.39	292.19	288.12	279.04	340.89	325.55	320.4	322.16	299.65	276.19	357.55
Bronx10	270.15	311.15	241.92	272.8	297.1	337.52	313.53	323.05	300.26	286.39	301.66	267.91	327.68	298.78	288.02	295.99	311.56	327.08	329.35	341.48	322.19	323.66	342.25	289.72	379.5	295.57	338.98	333.35	341.56	330.35	364.22	353.03	340.51	339.39	324.72	318.55	381.82
Bronx11	246.56	277.91	214.44	251.05	261.54	276.38	276.88	284.15	263.83	256.35	271.38	238.84	297.91	280.29	246.37	264.11	272.08	275.7	295.52	298.79	277.81	280.78	286.73	248.47	323.06	247.49	308.53	295.98	288.95	285.42	326.08	306.76	304.89	319.35	299.38	299.1	342.2
Bronx12	381.15	446.89	332.77	404.14	429.48	439.08	449.73	479.23	441.29	427.34	426.21	371.3	480.29	417.59	393.76	435.87	439	434.89	484.88	504.21	473.64	479.6	458.93	410.52	528.9	385.56	504.01	483.51	484.08	466.99	552.41	528.41	535.32	507.9	462.56	475.6	537.01
Brooklyn1	379.69	434.56	338.78	389.1	383.1	406.97	382.09	411.39	346.96	365.74	404.06	330.21	409.53	381.02	451.81	390.92	418.26	376.9	411.02	430.51	380.32	404.71	432	358.17	494.07	362.26	477.61	456.9	419.09	414.19	482.2	422.26	433.99	466.8	431.28	402.75	500.99
Brooklyn2	293.19	351.47	270.12	290.17	307.27	308.69	296.82	302.03	276.4	280.32	316.29	278.79	332.38	284.82	343.6	302.77	314.85	306.7	340.24	328.78	301.68	324.49	335.62	304.18	360.61	286.51	372.77	350.85	338.32	324.89	362.43	332.8	331.19	340.34	340.38	346.45	387.63
Brooklyn3	228.66	246.66	194.22	217.42	237.02	230.43	240	259.78	222.8	240.58	242.66	202.37	281.02	215.02	253.44	265.93	254.61	242.92	300.47	292.08	267.08	294.13	267.93	252.31	332.24	225.83	314.62	311.37	281.34	298.6	334.15	308.02	341.9	322.58	292.95	325.83	336.29
Brooklyn4	234.07	264.51	215.64	246.93	243.36	253.41	254.43	264.03	244.24	238.69	246.99	221.39	268.46	227.14	271.53	254.75	260.97	254.28	283.31	281.21	276.37	276.46	281.09	250.44	308.17	248.43	311.13	296.92	290.01	278.05	327.44	318.87	318.66	314.89	295.61	284.49	333.26
Brooklyn5	289.23	328.86	238.65	269.04	310.6	289.29	312.28	336.16	288.35	290.76	287.82	240.08	346.23	242.35	292.52	303.9	318.51	282.71	340.42	359.63	320.58	344.25	303.49	299.79	391.3	251.77	375.03	368.43	334.34	339.89	402.5	361.76	396.59	356.59	329.44	361.65	375.55
Brooklyn6	359.4	419.17	336.29	354.13	364.33	400.92	392.97	373.4	345.5	354.85	388.18	342.61	409.93	377.72	417.77	370.58	381.65	383.74	420.03	401.33	366.41	392.34	423.31	368.86	437.39	349.69	459.38	407.83	408.04	393.71	434.37	399.6	398.23	409.53	401.4	397.91	471.32
Brooklyn7	319.11	365.71	302.91	322.2	339.82	347.02	355.63	359.56	326.44	338.98	350.38	314.72	382.24	306.62	381.24	352.93	351.96	342.4	398.08	387.48	363.79	373.9	383.52	349.6	425.58	304.11	426.69	389.91	388.07	373.09	419.28	392.49	393.6	392.67	384.87	380.32	429.14
