Borough,Row Labels,Row Labels,10/1/2013,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,8/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016
Bronx,BX9,g22,-24179.06,-20276.43,-16947.865,-21813.68,-25340.905,-27868.375,-26742.975,-28262.54,-25727.865,-25831.965,-25587.85,-22828.735,-25828.69,-19785.78,-17660.4,-23449.125,-25233.865,-26695.9,-29303.855,-28175.595,-26084.08,-26880,-25391.14,-24566.33,-25429.74,-20016.29,-20261.44,-24070.135,-24067.27,-26197.855,-28366.53,-26627.64,-27129.82,-25495.135,-24631.53,-23925.935,-23501.825
Bronx,BX12,g23,-20488.79,-16929.88,-14090.715,-18233.86,-21436.005,-23596.025,-22754.105,-23911.32,-21825.735,-21996.925,-21852.45,-19329.035,-21783.58,-16576.07,-15023.9,-19893.455,-21512.955,-22742.56,-25078.035,-23965.515,-22227.03,-23063.39,-21702.87,-20777.04,-21465.3,-16778.7,-16994.1,-20400.755,-20432.44,-22248.955,-24086.84,-22559.16,-22905.88,-21691.995,-20929.56,-20078.855,-19674.645
Brooklyn,B2,g24,-18080.62,-14597.76,-12059.815,-15882.3,-18921.975,-20969.385,-20310.275,-21474.32,-19535.265,-19523.565,-19309.96,-16981.605,-19285.65,-14412.92,-12963.38,-17538.065,-19094.715,-20254.57,-22458.575,-21574.185,-19899.41,-20610.43,-19165.74,-18359.07,-18956.28,-14614.16,-14786.04,-18014.635,-18040.22,-19858.955,-21463.36,-20258.7,-20506.2,-19288.725,-18541.57,-17649.825,-17245.085
Brooklyn,B16,g25,-16240.79,-12813.87,-10395.405,-14033.44,-16990.795,-18932.415,-18338.035,-19323.71,-17523.925,-17553.065,-17350.37,-15142.825,-17238.67,-12752.65,-11427.79,-15648.355,-17201.135,-18287.75,-20262.885,-19446.465,-17888.61,-18637.21,-17217.54,-16446.22,-16854.33,-12863.06,-13047.1,-16003.265,-16132.05,-17921.385,-19208.48,-18175.9,-18312.61,-17282.295,-16571.95,-15622.805,-15210.475
Brooklyn,B13,g26,-14049.36,-10824.95,-8618.365,-12008.07,-14829.285,-16622.335,-16129.905,-16979,-15318.745,-15355.145,-15171.47,-13184.145,-15079.61,-10865.92,-9695,-13569.385,-15112.905,-16129.98,-17892.215,-17136.975,-15767.57,-16492.66,-15145.11,-14467.65,-14771.25,-11017.32,-11251.18,-13978.075,-14145.97,-15865.365,-16923.34,-16041.31,-16054.37,-15291.365,-14536.47,-13605.005,-13242.645
Brooklyn,B6,g27,-11739.17,-8583.84,-6730.795,-9881.91,-12464.625,-14173.745,-13903.055,-14684.43,-13260.765,-13162.295,-12868.46,-11046.975,-12718.31,-8776.61,-7921.1,-11457.595,-12902.445,-13854.45,-15432.715,-14918.125,-13681.13,-14279.48,-13016.38,-12451.74,-12679.7,-9110.46,-9335.74,-11954.745,-12190.61,-13811.625,-14774.44,-14109.55,-14056.16,-13300.225,-12528.22,-11518.585,-11173.815
Brooklyn,B8,g28,-9087.66,-6115.12,-4525.065,-7288.49,-9768.565,-11352.285,-11110.835,-11832.71,-10568.225,-10441.875,-10128.61,-8510.445,-9853.32,-6415.39,-5793.89,-8763.775,-10345.445,-11162.76,-12415.325,-12101.615,-10973.72,-11585.65,-10380,-9832.62,-9942.08,-6771.99,-6920.62,-9381.135,-9712.06,-11284.825,-11875.21,-11482.36,-11267.3,-10689.415,-9934.49,-8928.495,-8543.275
Brooklyn,B7,g29,-5746.29,-2948.65,-1789.455,-4223.52,-6379.195,-7832.235,-7761.935,-8274.98,-7288.425,-7162.785,-6769.96,-5427.965,-6428.1,-3401.48,-3114.27,-5624.025,-7056.475,-7740.92,-8793.985,-8634.055,-7695.6,-8214.27,-7045.38,-6650.39,-6526.41,-3791.32,-3905.77,-6068.955,-6481.55,-7909.085,-8298.23,-8078.82,-7784.41,-7484.815,-6600.39,-5571.575,-5238.625
Brooklyn,B9,g30,-2611.06,-76.56,710.105,-1265.65,-3256.095,-4572.665,-4606.585,-5048.91,-4263.205,-4016.125,-3555.51,-2535.665,-3176.2,-703.65,-757.23,-2458.505,-4123.155,-4726.38,-5472.645,-5517.895,-4736.49,-5058.15,-3889.41,-3706.18,-3395.37,-1065.96,-1190.86,-3141.435,-3639.46,-5015.615,-5076.73,-5120.74,-4719.49,-4454.135,-3570.04,-2532.095,-2165.845
Brooklyn,B4,g31,545.06,2815.94,3338.365,1709.66,-93.305,-1166.055,-1391.725,-1618.54,-1106.175,-858.185,-505.54,300.625,-53.54,1983.35,1714.15,479.375,-1243.965,-1669.35,-2084.795,-2297.875,-1649.91,-1998.24,-875.04,-829.84,-329.76,1559.4,1468.33,-236.725,-816.02,-2004.975,-1891.57,-2026.99,-1483.85,-1448.425,-582.4,465.855,774.805
Brooklyn,B10,g32,3930,5947.29,6006.125,4712.26,3234.015,2311.135,1990.285,1887.66,2064.335,2466.485,2826.21,3379.155,3493.96,4942.68,4369.21,3626.405,1999.535,1677.29,1540.625,1059.065,1467.36,1231.5,2402.63,2352.11,3081.42,4472.93,4399.22,2953.025,2246.83,1263.455,1638.69,1211.96,1818.82,1700.675,2464,3615.525,3980.115
Brooklyn,B3,g33,7963.28,9646.06,9315.695,8627.36,7311.145,6673.015,6163.285,6121.91,6012.325,6532.945,6832.86,7039.695,7648.29,8427.71,7539.69,7544.045,5872.165,5727.27,5949.415,5164.395,5392.69,5296.34,6336.77,6247.75,7105.66,7981.14,7992.43,6847.145,6075.24,5363.265,5926.58,5167.14,6001.09,5681.785,6391.31,7612.445,7969.825
Brooklyn,B14,g34,12829,14176.43,13310.425,13345.03,12173.865,11788.695,11103.395,11197.4,10705.705,11553.175,11823.37,11723.625,12888.96,12761.56,11484.3,12420.975,10548.655,10567.9,11273.435,10000.625,10000.39,10294.67,11257.46,11139.21,12213.68,12314.19,12188.97,11665.545,10721.48,10189.275,11117.7,9810.94,10879.42,10460.185,11213.55,12465.425,12976.525
Brooklyn,B15,g35,17499.1,18315.06,16893.745,17533.82,16788.605,16659.955,15668.715,15732.86,14924.115,16124.465,16487.06,16048.335,17513.25,16622.13,15079.22,16807.055,14959.885,15219.34,16071.415,14457.025,14165.83,15000.82,15948.91,15636.49,16775.27,16255.51,16125.93,16163.635,15207,14702.645,16022.73,14077.12,15273.44,15047.405,15952.49,17078.575,17468.555
Brooklyn,B11,g36,22369.42,22875.71,20770.355,21929.66,21667.175,21800.035,20605.735,20997.46,19779.705,21119.445,21487.92,20706.055,22643.66,20994.45,19061.12,21452.765,19786.435,20267.68,21556.435,19624.965,18976.02,20065.06,20970.29,20480.23,21887.39,20748.26,20480.88,20999.575,19940.46,19722.265,21480.65,19119.17,20459.26,19939.995,20849.1,22062.695,22396.585
Brooklyn,B1,g37,27434.86,27602.75,25071.165,27052.32,26986.945,27178.685,25591.685,25481.75,24039.215,26296.845,26641.57,25531.935,27830.75,25692.22,23337.13,26955.035,24918.515,25366.22,27014.495,23942.775,23309.96,25267.77,26344.73,25395.24,27276.52,25562.66,25255.73,26511.765,25180.63,24902.815,27032.28,23470.89,24951.05,25095.125,26064.8,27313.055,27806.075
