	Borough	District	bororder	13-Oct	14-Jan	14-Feb	14-Mar	14-Apr	14-May	14-Jun	14-Jul	14-Aug	14-Sep	14-Oct	14-Nov	14-Dec	15-Jan	15-Feb	15-Mar	15-Apr	15-May	15-Jun	15-Jul	15-Aug	15-Sep	15-Oct	15-Nov	15-Dec	16-Jan	16-Feb	16-Mar	16-Apr	16-May	16-Jun	16-Jul	16-Aug	16-Sep	16-Oct	16-Nov	16-Dec		Oct-13	14-Jan	14-Feb	14-Mar	14-Apr	14-May	14-Jun	14-Jul	14-Aug	14-Sep	14-Oct	14-Nov	14-Dec	15-Jan	15-Feb	15-Mar	15-Apr	15-May	15-Jun	15-Jul	15-Aug	15-Sep	15-Oct	15-Nov	15-Dec	16-Jan	16-Feb	16-Mar	16-Apr	16-May	16-Jun	16-Jul	16-Aug	16-Sep	16-Oct	16-Nov	16-Dec		variance			
43	Queens	Q5	5	"183,829"	"169,542"	"148,152"	"172,191"	"185,369"	"197,103"	"186,513"	"192,504"	"176,649"	"183,364"	"184,407"	"172,542"	"191,528"	"162,075"	"142,418"	"175,518"	"178,024"	"184,964"	"197,773"	"185,583"	"175,343"	"183,220"	"181,791"	"178,485"	"187,380"	"160,145"	"159,963"	"178,356"	"174,848"	"182,034"	"195,986"	"178,972"	"185,908"	"179,298"	"179,107"	"182,306"	"181,107"		"4,942"	"4,408"	"3,690"	"4,449"	"5,089"	"5,466"	"4,946"	"5,052"	"4,719"	"4,785"	"4,942"	"4,541"	"5,081"	"4,231"	"3,539"	"4,451"	"4,922"	"5,141"	"5,240"	"4,930"	"4,573"	"4,742"	"4,837"	"4,648"	"4,936"	"4,162"	"4,076"	"4,682"	"4,567"	"4,830"	"5,025"	"4,740"	"4,918"	"4,700"	"4,656"	"4,703"	"4,500"		151611.0694			
47	Queens	Q9	5	"187,861"	"173,034"	"151,163"	"175,825"	"189,474"	"201,647"	"190,796"	"197,051"	"180,703"	"187,404"	"188,526"	"176,327"	"195,754"	"165,480"	"145,328"	"179,198"	"182,072"	"189,200"	"202,360"	"190,019"	"179,466"	"187,288"	"185,769"	"182,460"	"191,499"	"163,452"	"163,311"	"182,246"	"178,695"	"186,238"	"200,512"	"183,209"	"190,237"	"183,319"	"183,136"	"186,368"	"185,054"		"4,032"	"3,492"	"3,011"	"3,634"	"4,105"	"4,544"	"4,283"	"4,547"	"4,054"	"4,040"	"4,119"	"3,785"	"4,226"	"3,405"	"2,910"	"3,680"	"4,048"	"4,236"	"4,587"	"4,436"	"4,123"	"4,068"	"3,978"	"3,975"	"4,119"	"3,307"	"3,348"	"3,890"	"3,847"	"4,204"	"4,526"	"4,237"	"4,329"	"4,021"	"4,029"	"4,062"	"3,947"		158354.5376			
41	Queens	Q3	5	"192,590"	"177,345"	"154,878"	"180,180"	"194,272"	"206,891"	"195,730"	"202,365"	"185,557"	"192,257"	"193,423"	"180,699"	"200,826"	"169,755"	"148,826"	"183,715"	"186,833"	"194,094"	"207,722"	"195,308"	"184,311"	"192,197"	"190,698"	"187,138"	"196,563"	"167,558"	"167,577"	"186,949"	"183,316"	"191,194"	"205,854"	"188,303"	"195,477"	"188,197"	"188,007"	"191,322"	"189,868"		"4,729"	"4,311"	"3,715"	"4,355"	"4,798"	"5,244"	"4,934"	"5,314"	"4,854"	"4,853"	"4,897"	"4,372"	"5,072"	"4,275"	"3,498"	"4,517"	"4,761"	"4,894"	"5,362"	"5,289"	"4,845"	"4,909"	"4,929"	"4,678"	"5,064"	"4,106"	"4,266"	"4,703"	"4,621"	"4,956"	"5,342"	"5,094"	"5,240"	"4,878"	"4,871"	"4,954"	"4,814"		175651.103			
48	Queens	Q10	5	"196,375"	"180,433"	"157,515"	"183,483"	"198,119"	"211,341"	"199,970"	"206,819"	"189,457"	"196,114"	"197,273"	"184,206"	"204,774"	"172,822"	"151,364"	"187,094"	"190,643"	"198,247"	"212,114"	"199,576"	"188,274"	"196,069"	"194,267"	"190,409"	"199,994"	"170,309"	"170,320"	"190,250"	"186,642"	"194,883"	"209,871"	"192,092"	"199,303"	"191,718"	"191,433"	"194,750"	"193,170"		"3,785"	"3,088"	"2,637"	"3,303"	"3,847"	"4,450"	"4,240"	"4,454"	"3,900"	"3,857"	"3,850"	"3,507"	"3,948"	"3,067"	"2,538"	"3,379"	"3,810"	"4,153"	"4,392"	"4,268"	"3,963"	"3,872"	"3,569"	"3,271"	"3,431"	"2,751"	"2,743"	"3,301"	"3,326"	"3,689"	"4,017"	"3,789"	"3,826"	"3,521"	"3,426"	"3,428"	"3,302"		239105.3294			
45	Queens	Q7	5	"202,996"	"186,168"	"162,366"	"189,272"	"204,708"	"218,588"	"206,841"	"214,073"	"196,086"	"202,780"	"203,956"	"190,500"	"211,622"	"178,445"	"156,197"	"192,950"	"197,096"	"205,113"	"219,312"	"206,682"	"194,972"	"202,798"	"200,875"	"197,034"	"206,716"	"175,811"	"175,809"	"196,550"	"192,882"	"201,534"	"217,115"	"198,836"	"206,401"	"198,346"	"197,995"	"201,282"	"199,550"		"6,621"	"5,735"	"4,851"	"5,789"	"6,589"	"7,247"	"6,871"	"7,254"	"6,629"	"6,666"	"6,683"	"6,294"	"6,848"	"5,623"	"4,833"	"5,856"	"6,453"	"6,866"	"7,198"	"7,106"	"6,698"	"6,729"	"6,608"	"6,625"	"6,722"	"5,502"	"5,489"	"6,300"	"6,240"	"6,651"	"7,244"	"6,744"	"7,098"	"6,628"	"6,562"	"6,532"	"6,380"		365753.534			
51	Queens	Q13	5	"208,185"	"190,308"	"165,806"	"193,699"	"210,214"	"224,985"	"212,838"	"220,421"	"201,799"	"208,218"	"209,338"	"195,540"	"217,202"	"182,410"	"159,574"	"197,443"	"202,406"	"211,047"	"225,533"	"212,812"	"200,625"	"208,319"	"205,982"	"202,476"	"212,068"	"179,767"	"179,764"	"201,331"	"197,835"	"207,328"	"223,300"	"204,602"	"212,411"	"203,768"	"203,159"	"206,704"	"204,608"		"5,189"	"4,140"	"3,440"	"4,427"	"5,506"	"6,397"	"5,997"	"6,348"	"5,713"	"5,438"	"5,382"	"5,040"	"5,580"	"3,965"	"3,377"	"4,493"	"5,310"	"5,934"	"6,221"	"6,130"	"5,653"	"5,521"	"5,107"	"5,442"	"5,352"	"3,956"	"3,955"	"4,781"	"4,953"	"5,794"	"6,185"	"5,766"	"6,010"	"5,422"	"5,164"	"5,422"	"5,058"		614684.2454			
50	Queens	Q12	5	"214,584"	"195,680"	"170,497"	"199,459"	"216,828"	"232,580"	"220,098"	"228,147"	"208,722"	"214,867"	"215,807"	"201,595"	"224,063"	"187,680"	"164,102"	"203,288"	"209,071"	"218,210"	"233,223"	"220,381"	"207,584"	"215,173"	"212,413"	"209,078"	"218,770"	"184,937"	"185,044"	"207,483"	"204,086"	"214,364"	"230,938"	"211,895"	"219,974"	"210,559"	"209,589"	"213,084"	"211,073"		"6,399"	"5,372"	"4,691"	"5,760"	"6,614"	"7,595"	"7,260"	"7,726"	"6,923"	"6,649"	"6,469"	"6,055"	"6,861"	"5,270"	"4,528"	"5,845"	"6,665"	"7,163"	"7,690"	"7,569"	"6,959"	"6,854"	"6,431"	"6,602"	"6,702"	"5,170"	"5,280"	"6,152"	"6,251"	"7,036"	"7,638"	"7,293"	"7,563"	"6,791"	"6,430"	"6,380"	"6,465"		677057.7516			
																																										"214,584"																																				"211,073"					
																																																																																			
																																																																																			
																																																																																			
																																																																																			
		Row Labels																																								13-Oct	14-Jan	14-Feb	14-Mar	14-Apr	14-May	14-Jun	14-Jul	14-Aug	14-Sep	14-Oct	14-Nov	14-Dec	15-Jan	15-Feb	15-Mar	15-Apr	15-May	15-Jun	15-Jul	15-Aug	15-Sep	15-Oct	15-Nov	15-Dec	16-Jan	16-Feb	16-Mar	16-Apr	16-May	16-Jun	16-Jul	16-Aug	16-Sep	16-Oct	16-Nov	16-Dec					
		Grand total																																								"214,588"	"195,681"	"170,491"	"199,459"	"216,828"	"232,580"	"220,100"	"228,148"	"208,722"	"214,869"	"215,804"	"201,594"	"224,063"	"187,675"	"164,101"	"203,289"	"209,068"	"218,206"	"233,226"	"220,381"	"207,588"	"215,170"	"212,414"	"209,076"	"218,767"	"184,939"	"185,045"	"207,483"	"204,084"	"214,362"	"230,935"	"211,895"	"219,975"	"210,557"	"209,587"	"213,083"	"211,070"					
